,rounds,opening,winner
0,9,"(0, 0)",tie
1,9,"(0, 0)",tie
2,9,"(0, 0)",tie
3,9,"(1, 0)",tie
4,6,"(0, 0)",mcts
5,9,"(2, 0)",tie
6,9,"(0, 0)",tie
7,9,"(2, 2)",tie
8,9,"(0, 1)",tie
9,6,"(0, 0)",mcts
10,9,"(1, 0)",tie
11,9,"(0, 0)",tie
12,9,"(0, 0)",tie
13,9,"(0, 0)",tie
14,9,"(0, 0)",tie
15,9,"(0, 0)",tie
16,9,"(0, 0)",tie
17,7,"(0, 0)",q
18,7,"(0, 0)",q
19,9,"(0, 0)",tie
20,6,"(0, 0)",mcts
21,6,"(0, 0)",mcts
22,9,"(0, 0)",tie
23,9,"(0, 0)",tie
24,9,"(0, 0)",tie
25,9,"(0, 0)",tie
26,8,"(0, 1)",mcts
27,9,"(0, 0)",tie
28,9,"(0, 0)",tie
29,9,"(0, 0)",tie
30,9,"(0, 0)",tie
31,9,"(0, 0)",tie
32,7,"(2, 0)",q
33,9,"(0, 0)",tie
34,7,"(0, 0)",q
35,9,"(0, 0)",tie
36,9,"(0, 0)",tie
37,7,"(2, 2)",q
38,9,"(0, 0)",tie
39,9,"(0, 0)",tie
40,9,"(0, 0)",tie
41,9,"(0, 0)",tie
42,9,"(0, 0)",tie
43,9,"(0, 0)",tie
44,9,"(0, 0)",tie
45,9,"(0, 0)",tie
46,9,"(0, 0)",tie
47,9,"(1, 2)",tie
48,9,"(0, 0)",tie
49,6,"(0, 0)",mcts
